epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,6509.16,1.77687,2.05527,2.21277,0.71863,0.76011,0.80964,0.47852,1.5219,1.48688,2.29669,0.00118385,0.00118385,0.00118385
84,6582.67,1.7583,2.00218,2.20301,0.80622,0.7713,0.82486,0.51463,1.47861,1.51284,2.2633,0.00117821,0.00117821,0.00117821
85,6663.31,1.79223,2.06801,2.24892,0.84856,0.79195,0.82461,0.51876,1.4086,1.45152,2.20506,0.00117253,0.00117253,0.00117253
86,6744.33,1.75115,1.96415,2.18683,0.78702,0.80237,0.83363,0.5165,1.4582,1.39553,2.27923,0.0011668,0.0011668,0.0011668
87,6812.54,1.72306,2.01478,2.19781,0.78795,0.77039,0.83486,0.46507,1.61579,1.55962,2.3618,0.00116102,0.00116102,0.00116102
88,6892.17,1.72357,1.93089,2.20403,0.7799,0.79062,0.80338,0.51679,1.45967,1.48697,2.2438,0.00115519,0.00115519,0.00115519
89,6972.8,1.76139,2.00885,2.20559,0.85097,0.68877,0.8074,0.46091,1.60992,1.44258,2.32301,0.00114931,0.00114931,0.00114931
90,7047.99,1.75634,1.97003,2.21687,0.80734,0.75885,0.8129,0.53166,1.39477,1.41986,2.21043,0.00114339,0.00114339,0.00114339
91,7130.84,1.67959,1.92936,2.16007,0.81569,0.70663,0.81461,0.53003,1.44124,1.37269,2.20162,0.00113742,0.00113742,0.00113742
92,7210.78,1.75894,1.94192,2.19283,0.83672,0.74527,0.84233,0.52397,1.51754,1.34198,2.24642,0.0011314,0.0011314,0.0011314
93,7273.09,1.7528,1.97507,2.17759,0.7952,0.82022,0.83406,0.51508,1.45393,1.43807,2.23632,0.00112534,0.00112534,0.00112534
94,7354.1,1.70319,1.89258,2.14204,0.84878,0.72809,0.83179,0.53223,1.41066,1.36808,2.19796,0.00111924,0.00111924,0.00111924
95,7434.58,1.74278,1.99352,2.21413,0.84655,0.80006,0.85736,0.54562,1.47809,1.32547,2.20843,0.00111309,0.00111309,0.00111309
96,7496.92,1.63775,1.81055,2.12831,0.84901,0.76437,0.84224,0.53633,1.46787,1.31026,2.23146,0.0011069,0.0011069,0.0011069
97,7577.56,1.69791,1.93268,2.17012,0.84708,0.76681,0.85507,0.52913,1.46791,1.29331,2.22264,0.00110066,0.00110066,0.00110066
98,7657.95,1.7105,1.87606,2.15565,0.84624,0.77633,0.88138,0.56234,1.43742,1.26742,2.18408,0.00109439,0.00109439,0.00109439
99,7732.14,1.709,1.85399,2.15646,0.84258,0.7923,0.86059,0.54608,1.44495,1.23891,2.1748,0.00108807,0.00108807,0.00108807
100,7814.16,1.68384,1.859,2.16304,0.88278,0.8098,0.87813,0.5819,1.45122,1.22824,2.19639,0.00108172,0.00108172,0.00108172
101,7894.22,1.67036,1.80425,2.15883,0.83464,0.73248,0.82905,0.5389,1.4618,1.42137,2.21313,0.00107532,0.00107532,0.00107532
102,7963.21,1.68991,1.87791,2.14226,0.86087,0.7909,0.86674,0.55306,1.42067,1.29157,2.16551,0.00106889,0.00106889,0.00106889
103,8044.34,1.67082,1.84471,2.1419,0.83327,0.77872,0.84708,0.53898,1.36155,1.27008,2.11279,0.00106242,0.00106242,0.00106242
104,8124.11,1.68197,1.87275,2.15901,0.89227,0.81358,0.86256,0.56654,1.36696,1.22256,2.12133,0.00105591,0.00105591,0.00105591
105,8187.22,1.68762,1.86472,2.14841,0.83202,0.77178,0.85418,0.54969,1.36913,1.29266,2.12719,0.00104936,0.00104936,0.00104936
106,8269.42,1.62318,1.77216,2.12113,0.84161,0.80611,0.8705,0.57898,1.39221,1.25318,2.14186,0.00104278,0.00104278,0.00104278
107,8349.89,1.64385,1.79573,2.12269,0.84474,0.82041,0.86279,0.577,1.32657,1.19418,2.12343,0.00103616,0.00103616,0.00103616
108,8420.31,1.6716,1.86315,2.13305,0.83139,0.82373,0.86662,0.55698,1.43705,1.30158,2.16064,0.00102951,0.00102951,0.00102951
109,8500.8,1.63175,1.81438,2.11351,0.85029,0.8421,0.8781,0.58256,1.31952,1.20587,2.09181,0.00102282,0.00102282,0.00102282
110,8582.15,1.64686,1.82171,2.11928,0.83241,0.73932,0.856,0.53792,1.36894,1.27298,2.14491,0.0010161,0.0010161,0.0010161
111,8651.74,1.61781,1.78593,2.11212,0.84544,0.81976,0.87059,0.55508,1.34698,1.20488,2.09624,0.00100935,0.00100935,0.00100935
112,8732.33,1.60505,1.75984,2.08018,0.90764,0.78333,0.88633,0.55917,1.41957,1.22356,2.1903,0.00100257,0.00100257,0.00100257
113,8812.8,1.62851,1.75966,2.0985,0.86236,0.82844,0.87868,0.61555,1.33965,1.15137,2.10327,0.000995756,0.000995756,0.000995756
114,8878.28,1.60112,1.73626,2.06835,0.85114,0.82361,0.87678,0.60829,1.26127,1.13571,2.06022,0.000988913,0.000988913,0.000988913
115,8957.73,1.58121,1.72587,2.08628,0.80358,0.81395,0.86085,0.57482,1.33208,1.22808,2.10363,0.00098204,0.00098204,0.00098204
116,9036.84,1.60897,1.69665,2.07788,0.87788,0.81363,0.872,0.56562,1.37417,1.22669,2.13243,0.000975138,0.000975138,0.000975138
117,9105.57,1.64671,1.70841,2.09059,0.8658,0.87752,0.90269,0.61474,1.28346,1.08975,2.05367,0.000968209,0.000968209,0.000968209
118,9185.71,1.57257,1.64991,2.05115,0.91549,0.81575,0.89903,0.6251,1.22138,1.07571,2.00008,0.000961253,0.000961253,0.000961253
119,9266,1.52611,1.64724,2.03025,0.88022,0.78035,0.86947,0.60487,1.21317,1.1619,1.99867,0.00095427,0.00095427,0.00095427
120,9335.53,1.58159,1.72009,2.0624,0.82188,0.84419,0.87314,0.59075,1.29312,1.08984,2.06727,0.000947262,0.000947262,0.000947262
121,9421.28,1.56539,1.6629,2.02351,0.83592,0.83335,0.89044,0.59206,1.23459,1.1695,2.02342,0.00094023,0.00094023,0.00094023
122,9500.48,1.59092,1.7293,2.05478,0.82771,0.84216,0.88315,0.57338,1.27397,1.12789,2.06442,0.000933173,0.000933173,0.000933173
123,9565.19,1.55913,1.73517,2.03874,0.92319,0.77001,0.87251,0.59489,1.31903,1.14828,2.09992,0.000926093,0.000926093,0.000926093
124,9645.81,1.55287,1.66619,2.05182,0.81596,0.82372,0.89345,0.59515,1.29043,1.06756,2.07688,0.000918991,0.000918991,0.000918991
125,9725.34,1.56884,1.62829,2.07304,0.88198,0.80387,0.89337,0.58551,1.28377,1.09325,2.06979,0.000911867,0.000911867,0.000911867
126,9785.81,1.52638,1.62459,2.0326,0.92067,0.85857,0.91009,0.61572,1.27203,1.03575,2.03733,0.000904722,0.000904722,0.000904722
127,9868,1.58116,1.67693,2.03244,0.81976,0.85589,0.87681,0.59962,1.2873,1.02241,2.02828,0.000897557,0.000897557,0.000897557
128,9947.92,1.54175,1.62311,2.01913,0.82979,0.87042,0.90072,0.61424,1.29644,1.03395,2.07806,0.000890373,0.000890373,0.000890373
129,10025.9,1.54248,1.64924,2.03219,0.86946,0.86917,0.8984,0.62211,1.30363,1.05987,2.04703,0.00088317,0.00088317,0.00088317
130,10107.2,1.59879,1.69657,2.05219,0.84475,0.85116,0.89912,0.58365,1.31451,1.04611,2.06357,0.00087595,0.00087595,0.00087595
131,10188.5,1.55452,1.63715,2.03929,0.77714,0.87227,0.88151,0.58067,1.25412,1.13495,1.98596,0.000868712,0.000868712,0.000868712
132,10261,1.58245,1.68065,2.04964,0.85538,0.84584,0.90002,0.62271,1.23096,1.01632,1.97973,0.000861459,0.000861459,0.000861459
133,10340.9,1.51966,1.6059,1.99779,0.89229,0.82703,0.89873,0.63277,1.20944,1.01126,1.99238,0.00085419,0.00085419,0.00085419
134,10420.8,1.50656,1.61829,1.98864,0.83975,0.83711,0.90338,0.62879,1.26605,1.07399,2.01015,0.000846907,0.000846907,0.000846907
135,10493.6,1.51783,1.62217,1.99089,0.88123,0.82206,0.89174,0.61988,1.24304,1.09151,1.98959,0.00083961,0.00083961,0.00083961
136,10576,1.51705,1.62461,1.98794,0.88275,0.87564,0.91067,0.64308,1.17766,1.03806,1.95481,0.0008323,0.0008323,0.0008323
137,10655.8,1.52376,1.54297,1.98515,0.87716,0.80385,0.88898,0.62953,1.21237,1.05062,1.97124,0.000824978,0.000824978,0.000824978
138,10717.1,1.51974,1.62072,1.99289,0.95648,0.80659,0.90462,0.66415,1.18223,1.03745,1.9464,0.000817644,0.000817644,0.000817644
139,10796.7,1.48637,1.47857,1.9617,0.88729,0.84927,0.90788,0.65517,1.1983,1.01907,1.95954,0.0008103,0.0008103,0.0008103
140,10876.8,1.51939,1.60994,1.98361,0.91592,0.83628,0.90453,0.63839,1.18437,1.07054,1.94188,0.000802946,0.000802946,0.000802946
141,10945.8,1.54289,1.61961,2.01287,0.92215,0.83925,0.91315,0.65834,1.22127,0.93203,1.99335,0.000795584,0.000795584,0.000795584
142,11026.3,1.49389,1.59595,2.00806,0.92338,0.82511,0.91002,0.65253,1.18146,1.05046,1.95543,0.000788213,0.000788213,0.000788213
143,11107.2,1.49705,1.50617,1.97019,0.92263,0.84545,0.90136,0.63947,1.21391,0.97459,2.0004,0.000780835,0.000780835,0.000780835
144,11169.9,1.47658,1.51749,1.95623,0.85573,0.87013,0.90668,0.62789,1.22725,0.96752,1.9961,0.00077345,0.00077345,0.00077345
145,11250.5,1.45326,1.52006,1.94465,0.90709,0.85426,0.90679,0.64131,1.2238,0.96428,1.98617,0.00076606,0.00076606,0.00076606
146,11330.7,1.47484,1.52409,1.94646,0.89403,0.9003,0.91741,0.64309,1.20886,0.9668,1.94038,0.000758665,0.000758665,0.000758665
147,11392.7,1.44521,1.5239,1.94047,0.90925,0.83807,0.91152,0.64593,1.16855,0.93969,1.91508,0.000751266,0.000751266,0.000751266
148,11473.4,1.45865,1.52468,1.95731,0.89914,0.86879,0.91504,0.63879,1.21127,0.91373,1.94129,0.000743864,0.000743864,0.000743864
149,11554.2,1.47998,1.52195,1.95576,0.867,0.85291,0.9064,0.63818,1.2097,0.95775,1.94467,0.000736459,0.000736459,0.000736459
150,11617.3,1.46018,1.49438,1.95283,0.95483,0.84568,0.90637,0.64254,1.17018,0.91692,1.90548,0.000729052,0.000729052,0.000729052
151,11698.7,1.47263,1.51196,1.94531,0.86286,0.86037,0.90664,0.63012,1.20161,0.98834,1.9646,0.000721645,0.000721645,0.000721645
152,11779.2,1.46477,1.57451,1.96217,0.86786,0.87534,0.91543,0.64819,1.11346,0.99438,1.91234,0.000714238,0.000714238,0.000714238
153,11842,1.46626,1.52968,1.96339,0.87956,0.86179,0.90701,0.62105,1.16999,0.96861,1.9496,0.000706831,0.000706831,0.000706831
154,11924.5,1.44594,1.49855,1.95755,0.9562,0.86471,0.9136,0.66074,1.11854,0.94082,1.89033,0.000699426,0.000699426,0.000699426
155,12004.7,1.44713,1.52831,1.93921,0.90145,0.87703,0.91456,0.65749,1.13284,0.95015,1.8918,0.000692024,0.000692024,0.000692024
156,12073.3,1.46466,1.5349,1.9495,0.95879,0.85872,0.91316,0.65369,1.14661,0.92701,1.88329,0.000684625,0.000684625,0.000684625
157,12154.9,1.43097,1.42084,1.89828,0.94604,0.83419,0.91166,0.65961,1.1336,0.95019,1.85905,0.00067723,0.00067723,0.00067723
158,12235.8,1.44407,1.50674,1.92844,0.91128,0.84514,0.90124,0.67839,1.07547,0.94451,1.87889,0.00066984,0.00066984,0.00066984
159,12301.4,1.4584,1.52528,1.94335,0.91827,0.86818,0.912,0.65913,1.09124,0.91229,1.89328,0.000662455,0.000662455,0.000662455
